"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-01","61",",,7","50",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-02","57",",,7","49",",,7","55",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-03","57",",,7","48",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-04","59",",,7","55",",,7","59",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-05","61",",,7","53",",,7","59",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-06","62",",,7","46",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-07","68",",,7","52",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-08","65",",,7","49",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-09","61",",,7","50",",,7","54",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-10","59",",,7","53",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-11","63",",,7","47",",,7","58",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-12","71",",,7","51",",,7","68",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-13","68",",,7","55",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-14","64",",,7","50",",,7","51",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-15","59",",,7","50",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-16","60",",,7","48",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-17","59",",,7","43",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-18","61",",,7","45",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-19","58",",,7","44",",,7","54",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-20","60",",,7","46",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-21","64",",,7","45",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-22","62",",,7","44",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-23","66",",,7","49",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-24","67",",,7","46",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-25","72",",,7","48",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-26","67",",,7","52",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-27","69",",,7","52",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-28","63",",,7","48",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-29","59",",,7","51",",,7","54",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-30","58",",,7","46",",,7","54",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-01-31","63",",,7","47",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-01","67",",,7","48",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-02","70",",,7","50",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-03","71",",,7","54",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-04","69",",,7","52",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-05","65",",,7","52",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-06","67",",,7","51",",,7","67",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-07","67",",,7","50",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-08","71",",,7","52",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-09","77",",,7","54",",,7","74",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-10","78",",,7","59",",,7","70",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-11","70",",,7","49",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-12","57",",,7","45",",,7","55",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-13","61",",,7","47",",,7","59",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-14","59",",,7","48",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-15","62",",,7","43",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-16","62",",,7","45",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-17","68",",,7","49",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-18","67",",,7","51",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-19","67",",,7","47",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-20","71",",,7","49",",,7","66",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-21","66",",,7","49",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-22","57",",,7","45",",,7","53",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-23","53",",,7","42",",,7","49",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-24","52",",,7","43",",,7","52",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-25","53",",,7","43",",,7","43",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-26","56",",,7","40",",,7","53",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-27","53",",,7","44",",,7","52",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-02-28","56",",,7","44",",,7","53",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-01","55",",,7","47",",,7","52",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-02","62",",,7","44",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-03","60",",,7","43",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-04","59",",,7","45",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-05","58",",,7","46",",,7","54",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-06","59",",,7","46",",,7","55",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-07","59",",,7","43",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-08","62",",,7","45",",,7","55",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-09","63",",,7","45",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-10","60",",,7","49",",,7","54",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-11","62",",,7","54",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-12","62",",,7","52",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-13","64",",,7","52",",,7","58",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-14","58",",,7","53",",,7","55",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-15","59",",,7","55",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-16","60",",,7","51",",,7","58",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-17","63",",,7","46",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-18","75",",,7","52",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-19","69",",,7","55",",,7","55",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-20","60",",,7","52",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-21","59",",,7","47",",,7","53",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-22","57",",,7","45",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-23","59",",,7","49",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-24","64",",,7","51",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-25","63",",,7","48",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-26","64",",,7","50",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-27","73",",,7","50",",,7","67",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-28","72",",,7","54",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-29","61",",,7","46",",,7","55",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-30","58",",,7","43",",,7","49",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-31","61",",,7","44",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-01","66",",,7","48",",,7","62",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-02","63",",,7","49",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-03","62",",,7","51",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-04","61",",,7","48",",,7","59",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-05","66",",,7","47",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-06","70",",,7","52",",,7","68",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-07","68",",,7","53",",,7","62",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-08","65",",,7","51",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-09","66",",,7","52",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-10","69",",,7","50",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-11","64",",,7","52",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-12","60",",,7","53",",,7","58",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-13","60",",,7","53",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-14","62",",,7","52",",,7","59",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-15","66",",,7","49",",,7","62",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-16","62",",,7","49",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-17","62",",,7","53",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-18","62",",,7","54",",,7","59",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-19","70",",,7","51",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-20","76",",,7","57",",,7","76",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-21","84",",,7","65",",,7","82",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-22","83",",,7","61",",,7","74",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-23","76",",,7","58",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-24","65",",,7","57",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-25","66",",,7","56",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-26","66",",,7","52",",,7","62",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-27","65",",,7","54",",,7","58",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-28","62",",,7","54",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-29","65",",,7","53",",,7","58",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-04-30","63",",,7","54",",,7","59",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-01","63",",,7","55",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-02","61",",,7","50",",,7","59",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-03","61",",,7","47",",,7","58",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-04","61",",,7","51",",,7","58",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-05","64",",,7","53",",,7","62",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-06","63",",,7","50",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-07","65",",,7","52",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-08","66",",,7","54",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-09","64",",,7","55",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-10","65",",,7","52",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-11","65",",,7","53",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-12","67",",,7","52",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-13","67",",,7","54",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-14","70",",,7","58",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-15","66",",,7","58",",,7","62",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-16","65",",,7","56",",,7","62",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-17","65",",,7","55",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-18","69",",,7","57",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-19","66",",,7","58",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-20","68",",,7","60",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-21","69",",,7","58",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-22","64",",,7","58",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-23","62",",,7","58",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-24","64",",,7","56",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-25","66",",,7","59",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-26","66",",,7","54",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-27","66",",,7","55",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-28","65",",,7","55",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-29","68",",,7","60",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-30","65",",,7","59",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-05-31","66",",,7","58",",,7","62",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-01","65",",,7","59",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-02","68",",,7","59",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-03","68",",,7","55",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-04","68",",,7","58",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-05","65",",,7","57",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-06","66",",,7","58",",,7","61",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-07","67",",,7","58",",,7","66",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-08","69",",,7","55",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-09","66",",,7","57",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-10","66",",,7","58",",,7","63",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-11","66",",,7","60",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-12","68",",,7","59",",,7","66",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-13","68",",,7","58",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-14","65",",,7","57",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-15","67",",,7","60",",,7","66",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-16","70",",,7","60",",,7","68",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-17","72",",,7","60",",,7","66",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-18","68",",,7","60",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-19","69",",,7","61",",,7","65",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-20","69",",,7","57",",,7","68",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-21","72",",,7","56",",,7","70",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-22","70",",,7","57",",,7","64",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-23","69",",,7","56",",,7","66",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-24","74",",,7","56",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-25","70",",,7","56",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-26","69",",,7","56",",,7","68",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-27","70",",,7","56",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-28","70",",,7","57",",,7","67",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-29","72",",,7","57",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-30","70",",,7","57",",,7","68",",,7,1600"
